x,y,density,2,3,4,5,6,7,8,9,10
-4.63156,6.275079,1.4e-07,1e-06,-4.6e-07,4.78e-06,-3.17e-06,1.824e-05,9.3e-07,-1.518e-05,5.884e-05,6.42e-06
-4.63156,6.99568,1e-08,7e-08,-3e-08,3.7e-07,-2.2e-07,1.6e-06,6e-08,-1.19e-06,5.85e-06,4.5e-07
-4.156272,-6.99568,2e-08,-1.7e-07,-6e-08,9.1e-07,4.3e-07,-3.92e-06,8e-08,-2.31e-06,1.432e-05,-6.5e-07
-4.156272,-6.275079,3.5e-07,-2.45e-06,-9e-07,1.169e-05,6.19e-06,-4.464e-05,1.36e-06,-2.962e-05,0.00014404,-9.36e-06
-4.156272,-5.673962,2.92e-06,-1.824e-05,-7.4e-06,7.85e-05,4.62e-05,-0.00026816,1.118e-05,-0.00019882,0.00076945,-6.985e-05
-4.156272,-5.133596,1.641e-05,-9.271e-05,-4.156e-05,0.00035886,0.00023483,-0.00109509,6.283e-05,-0.00090895,0.00278336,-0.00035503
-4.156272,-4.63156,7.021e-05,-0.00035794,-0.00017783,0.00124074,0.00090662,-0.00335985,0.00026885,-0.00314265,0.00749023,-0.00137067
-4.156272,-4.156272,0.00024294,-0.00111146,-0.00061533,0.00342388,0.00281519,-0.00813644,0.00093028,-0.00867228,0.01564736,-0.00425615
-4.156272,-3.700743,0.00070499,-0.00287188,-0.00178565,0.00777401,0.00727415,-0.01593907,0.00269963,-0.01969067,0.02573276,-0.01099741
-4.156272,-3.260321,0.00175781,-0.00630854,-0.00445233,0.01476628,0.0159788,-0.0254453,0.00673125,-0.03740128,0.03287189,-0.02415753
-4.156272,-2.831681,0.00383026,-0.01193905,-0.00970162,0.02360612,0.03024022,-0.03273381,0.01466738,-0.05979157,0.03057263,-0.04571865
-4.156272,-2.412318,0.00738395,-0.01960739,-0.01870269,0.03159471,0.04966326,-0.03242849,0.02827564,-0.08002575,0.01569361,-0.07508335
-4.156272,-2.000259,0.01270858,-0.02798208,-0.03218937,0.03457968,0.07087537,-0.02111126,0.04866547,-0.08758634,-0.00670523,-0.10715285
-4.156272,-1.593886,0.01966042,-0.03449424,-0.04979756,0.02889224,0.08736992,-0.00110232,0.07528639,-0.07318071,-0.02405441,-0.13209013
-4.156272,-1.191827,0.0274757,-0.03604614,-0.06959278,0.01401077,0.0913007,0.0188192,0.10521378,-0.03548766,-0.0244784,-0.13803287
-4.156272,-0.792877,0.03481208,-0.03038312,-0.08817496,-0.00586505,0.07695694,0.0277631,0.13330723,0.0148555,-0.0070362,-0.11634727
-4.156272,-0.395943,0.04008595,-0.01747114,-0.10153306,-0.02296067,0.04425237,0.0200428,0.15350266,0.05815672,0.01551678,-0.06690291
-4.156272,0.0,0.04200938,0.0,-0.10640489,-0.02970512,0.0,0.0,0.16086813,0.07523962,0.02572538,-0.0
-4.156272,0.395943,0.04008595,0.01747114,-0.10153306,-0.02296067,-0.04425237,-0.0200428,0.15350266,0.05815672,0.01551678,0.06690291
-4.156272,0.792877,0.03481208,0.03038312,-0.08817496,-0.00586505,-0.07695694,-0.0277631,0.13330723,0.0148555,-0.0070362,0.11634727
-4.156272,1.191827,0.0274757,0.03604614,-0.06959278,0.01401077,-0.0913007,-0.0188192,0.10521378,-0.03548766,-0.0244784,0.13803287
-4.156272,1.593886,0.01966042,0.03449424,-0.04979756,0.02889224,-0.08736992,0.00110232,0.07528639,-0.07318071,-0.02405441,0.13209013
-4.156272,2.000259,0.01270858,0.02798208,-0.03218937,0.03457968,-0.07087537,0.02111126,0.04866547,-0.08758634,-0.00670523,0.10715285
-4.156272,2.412318,0.00738395,0.01960739,-0.01870269,0.03159471,-0.04966326,0.03242849,0.02827564,-0.08002575,0.01569361,0.07508335
-4.156272,2.831681,0.00383026,0.01193905,-0.00970162,0.02360612,-0.03024022,0.03273381,0.01466738,-0.05979157,0.03057263,0.04571865
-4.156272,3.260321,0.00175781,0.00630854,-0.00445233,0.01476628,-0.0159788,0.0254453,0.00673125,-0.03740128,0.03287189,0.02415753
